sentence_id,lang_a,lang_b,similarity
5187,English,Nepali,0.9275
5188,English,Nepali,0.9051
5189,English,Nepali,0.8465
5190,English,Nepali,0.8789
5191,English,Nepali,0.8902
5192,English,Nepali,0.9363
5193,English,Nepali,0.947
5194,English,Nepali,0.9327
5195,English,Nepali,0.9324
5196,English,Nepali,0.8185
5197,English,Nepali,0.8784
5198,English,Nepali,0.9031
5199,English,Nepali,0.8997
5200,English,Sinhala,0.925
5201,English,Sinhala,0.8663
5202,English,Sinhala,0.8752
5203,English,Sinhala,0.8918
5204,English,Sinhala,0.9205
5205,English,Sinhala,0.938
5206,English,Sinhala,0.9253
5207,English,Sinhala,0.8234
5208,English,Sinhala,0.9009
5209,English,Sinhala,0.9027
5210,English,Sinhala,0.8622
5211,English,Sinhala,0.9586
5212,English,Sinhala,0.9551
5213,English,Sinhala,0.9152
5214,English,Sinhala,0.903
5215,English,Sinhala,0.9453
5216,English,Sinhala,0.9346
5217,English,Sinhala,0.9535
5218,English,Sinhala,0.9152
5219,English,Sinhala,0.8604
5220,English,Sinhala,0.9437
5221,English,Sinhala,0.9182
5222,English,Sinhala,0.9281
5223,English,Sinhala,0.9721
5224,English,Sinhala,0.9124
5225,English,Sinhala,0.9139
5226,English,Sinhala,0.8544
5227,English,Sinhala,0.9168
5228,English,Sinhala,0.9593
5229,English,Sinhala,0.9493
5230,English,Sinhala,0.9565
5231,English,Sinhala,0.9384
5232,English,Sinhala,0.8806
5233,English,Sinhala,0.8677
5234,English,Sinhala,0.9346
5235,English,Sinhala,0.9015
5236,English,Sinhala,0.9397
5237,English,Sinhala,0.9165
5238,English,Sinhala,0.933
5239,English,Sinhala,0.9398
5240,English,Sinhala,0.8942
5241,English,Sinhala,0.9263
5242,English,Sinhala,0.8874
5243,English,Sinhala,0.8138
5244,English,Sinhala,0.9466
5245,English,Sinhala,0.8647
5246,English,Sinhala,0.9595
5247,English,Sinhala,0.9347
5248,English,Sinhala,0.9516
5249,English,Sinhala,0.8579
5250,English,Sinhala,0.9042
5251,English,Sinhala,0.944
5252,English,Sinhala,0.8204
5253,English,Sinhala,0.8865
5254,English,Sinhala,0.938
5255,English,Sinhala,0.8899
5256,English,Sinhala,0.7904
5257,English,Sinhala,0.8138
5258,English,Sinhala,0.9301
5259,English,Sinhala,0.9675
5260,English,Sinhala,0.9159
5261,English,Sinhala,0.9069
5262,English,Sinhala,0.906
5263,English,Sinhala,0.9202
5264,English,Sinhala,0.8098
5265,English,Sinhala,0.8735
5266,English,Sinhala,0.9456
5267,English,Sinhala,0.9577
5268,English,Sinhala,0.9069
5269,English,Sinhala,0.9551
5270,English,Sinhala,0.9617
5271,English,Sinhala,0.9241
5272,English,Sinhala,0.8945
5273,English,Sinhala,0.8973
5274,English,Sinhala,0.8958
5275,English,Sinhala,0.9571
5276,English,Sinhala,0.8764
5277,English,Sinhala,0.9563
5278,English,Sinhala,0.823
5279,English,Sinhala,0.8817
5280,English,Sinhala,0.8472
5281,English,Sinhala,0.9063
5282,English,Sinhala,0.9562
5283,English,Sinhala,0.9152
5284,English,Sinhala,0.9472
5285,English,Sinhala,0.9024
5286,English,Sinhala,0.9231
5287,English,Sinhala,0.8922
5288,English,Sinhala,0.9318
5289,English,Sinhala,0.7794
5290,English,Sinhala,0.8823
5291,English,Sinhala,0.8917
5292,English,Sinhala,0.9205
5293,English,Sinhala,0.9206
5294,English,Sinhala,0.9084
5295,English,Sinhala,0.9062
5296,English,Sinhala,0.9078
5297,English,Sinhala,0.8684
5298,English,Sinhala,0.9144
5299,English,Sinhala,0.8842
5300,English,Sinhala,0.9512
5301,English,Sinhala,0.9331
5302,English,Sinhala,0.9446
5303,English,Sinhala,0.8529
5304,English,Sinhala,0.8696
5305,English,Sinhala,0.9462
5306,English,Sinhala,0.8417
5307,English,Sinhala,0.9076
5308,English,Sinhala,0.948
5309,English,Sinhala,0.9095
5310,English,Sinhala,0.9134
5311,English,Sinhala,0.9206
5312,English,Sinhala,0.9023
5313,English,Sinhala,0.91
5314,English,Sinhala,0.806
5315,English,Sinhala,0.9655
5316,English,Sinhala,0.9079
5317,English,Sinhala,0.8356
5318,English,Sinhala,0.9116
5319,English,Sinhala,0.9356
5320,English,Sinhala,0.9
5321,English,Sinhala,0.8546
5322,English,Sinhala,0.9621
5323,English,Sinhala,0.9647
5324,English,Sinhala,0.9285
5325,English,Sinhala,0.8124
5326,English,Sinhala,0.9017
5327,English,Sinhala,0.8473
5328,English,Sinhala,0.9424
5329,English,Sinhala,0.9264
5330,English,Sinhala,0.9082
5331,English,Sinhala,0.9197
5332,English,Sinhala,0.9609
5333,English,Sinhala,0.9315
5334,English,Sinhala,0.9284
5335,English,Sinhala,0.8961
5336,English,Sinhala,0.9074
5337,English,Sinhala,0.9185
5338,English,Sinhala,0.91
5339,English,Sinhala,0.9432
5340,English,Sinhala,0.9579
5341,English,Sinhala,0.9073
5342,English,Sinhala,0.9472
5343,English,Sinhala,0.9027
5344,English,Sinhala,0.9412
5345,English,Sinhala,0.9068
5346,English,Sinhala,0.9132
5347,English,Sinhala,0.8974
5348,English,Sinhala,0.9457
5349,English,Sinhala,0.8621
