sentence_id,noise_type,similarity_to_clean
75,char_noise,0.9946
75,word_shuffle,0.9742
75,code_switch,0.939
76,char_noise,0.9618
76,word_shuffle,0.9778
76,code_switch,0.9596
77,char_noise,0.9703
77,word_shuffle,0.9509
77,code_switch,0.944
78,char_noise,0.9653
78,word_shuffle,1.0
78,code_switch,1.0
79,char_noise,0.9651
79,word_shuffle,0.9708
79,code_switch,0.9731
80,char_noise,0.9085
80,word_shuffle,0.9674
80,code_switch,0.9634
81,char_noise,0.9526
81,word_shuffle,0.9841
81,code_switch,0.9
82,char_noise,0.9952
82,word_shuffle,0.9745
82,code_switch,0.9197
83,char_noise,1.0
83,word_shuffle,0.9606
83,code_switch,0.8971
84,char_noise,0.9891
84,word_shuffle,0.9829
84,code_switch,0.9733
85,char_noise,0.9667
85,word_shuffle,0.9514
85,code_switch,0.9087
86,char_noise,0.9652
86,word_shuffle,0.9739
86,code_switch,0.9448
87,char_noise,0.9454
87,word_shuffle,0.9695
87,code_switch,0.9291
88,char_noise,0.9314
88,word_shuffle,0.9694
88,code_switch,0.9408
89,char_noise,0.9683
89,word_shuffle,0.955
89,code_switch,0.968
90,char_noise,0.9865
90,word_shuffle,0.9932
90,code_switch,0.9606
91,char_noise,0.9164
91,word_shuffle,0.9846
91,code_switch,0.9591
92,char_noise,0.9544
92,word_shuffle,0.9611
92,code_switch,0.9264
93,char_noise,0.9389
93,word_shuffle,0.9727
93,code_switch,0.9243
94,char_noise,0.929
94,word_shuffle,0.9627
94,code_switch,0.9293
95,char_noise,0.9886
95,word_shuffle,0.9845
95,code_switch,0.9639
96,char_noise,0.9539
96,word_shuffle,0.9568
96,code_switch,0.9268
97,char_noise,0.9581
97,word_shuffle,0.9824
97,code_switch,0.8946
98,char_noise,0.9709
98,word_shuffle,0.9975
98,code_switch,0.9614
99,char_noise,0.9594
99,word_shuffle,0.9796
99,code_switch,0.9413
100,char_noise,0.9898
100,word_shuffle,0.9881
100,code_switch,0.9489
101,char_noise,0.9831
101,word_shuffle,0.9722
101,code_switch,0.9412
102,char_noise,0.9454
102,word_shuffle,1.0
102,code_switch,0.8686
103,char_noise,0.9701
103,word_shuffle,0.9747
103,code_switch,0.9501
104,char_noise,0.9612
104,word_shuffle,0.9744
104,code_switch,0.9825
105,char_noise,0.9527
105,word_shuffle,0.9537
105,code_switch,0.9333
106,char_noise,0.9625
106,word_shuffle,0.9689
106,code_switch,0.9279
107,char_noise,0.9372
107,word_shuffle,0.9631
107,code_switch,0.9515
108,char_noise,0.9971
108,word_shuffle,0.9818
108,code_switch,0.9302
109,char_noise,0.9557
109,word_shuffle,0.9647
109,code_switch,0.9155
110,char_noise,0.9818
110,word_shuffle,0.9678
110,code_switch,0.9558
111,char_noise,0.9732
111,word_shuffle,0.9846
111,code_switch,0.8824
112,char_noise,0.9692
112,word_shuffle,0.9593
112,code_switch,0.9029
113,char_noise,0.9998
113,word_shuffle,0.9632
113,code_switch,0.9509
114,char_noise,0.9528
114,word_shuffle,0.9857
114,code_switch,0.926
115,char_noise,0.9474
115,word_shuffle,0.9735
115,code_switch,0.9404
116,char_noise,1.0
116,word_shuffle,0.9464
116,code_switch,0.9131
117,char_noise,0.9724
117,word_shuffle,0.9643
117,code_switch,0.9829
118,char_noise,0.9866
118,word_shuffle,1.0
118,code_switch,1.0
119,char_noise,0.9742
119,word_shuffle,0.9573
119,code_switch,0.978
120,char_noise,0.9596
120,word_shuffle,0.9845
120,code_switch,0.8292
121,char_noise,0.9533
121,word_shuffle,0.9656
121,code_switch,0.9242
122,char_noise,0.9774
122,word_shuffle,0.9779
122,code_switch,0.9348
123,char_noise,0.9724
123,word_shuffle,0.9714
123,code_switch,0.9442
124,char_noise,0.9584
124,word_shuffle,0.9701
124,code_switch,0.8963
125,char_noise,0.9467
125,word_shuffle,0.937
125,code_switch,0.941
126,char_noise,0.9573
126,word_shuffle,0.9711
126,code_switch,0.9213
127,char_noise,0.9803
127,word_shuffle,0.9794
127,code_switch,0.9729
128,char_noise,0.918
128,word_shuffle,0.9604
128,code_switch,0.9445
129,char_noise,0.9472
129,word_shuffle,0.9914
129,code_switch,1.0
130,char_noise,0.9921
130,word_shuffle,0.9739
130,code_switch,1.0
131,char_noise,0.9426
131,word_shuffle,0.9686
131,code_switch,0.9696
132,char_noise,0.9493
132,word_shuffle,0.9809
132,code_switch,0.9748
133,char_noise,0.9651
133,word_shuffle,0.9857
133,code_switch,1.0
134,char_noise,0.9851
134,word_shuffle,0.9765
134,code_switch,0.9745
135,char_noise,1.0
135,word_shuffle,0.9681
135,code_switch,0.9576
136,char_noise,0.922
136,word_shuffle,0.9517
136,code_switch,0.9413
137,char_noise,0.9724
137,word_shuffle,0.9651
137,code_switch,0.9334
138,char_noise,0.9602
138,word_shuffle,0.9737
138,code_switch,0.9619
139,char_noise,1.0
139,word_shuffle,0.9877
139,code_switch,0.9198
140,char_noise,0.9393
140,word_shuffle,0.9892
140,code_switch,0.9361
141,char_noise,0.9869
141,word_shuffle,0.9742
141,code_switch,0.9695
142,char_noise,0.9431
142,word_shuffle,0.9676
142,code_switch,0.9556
143,char_noise,0.9389
143,word_shuffle,0.9826
143,code_switch,0.974
144,char_noise,0.9461
144,word_shuffle,0.9575
144,code_switch,0.965
145,char_noise,0.9909
145,word_shuffle,0.9496
145,code_switch,0.8941
146,char_noise,1.0
146,word_shuffle,0.9694
146,code_switch,0.9175
147,char_noise,0.9443
147,word_shuffle,0.9982
147,code_switch,0.9424
148,char_noise,0.9302
148,word_shuffle,0.9716
148,code_switch,0.9801
149,char_noise,0.9572
149,word_shuffle,0.9812
149,code_switch,0.9437
150,char_noise,0.9749
150,word_shuffle,0.9808
150,code_switch,0.9557
151,char_noise,1.0
151,word_shuffle,1.0
151,code_switch,1.0
152,char_noise,0.9593
152,word_shuffle,0.9544
152,code_switch,0.9375
153,char_noise,0.9621
153,word_shuffle,0.9754
153,code_switch,0.9423
154,char_noise,0.901
154,word_shuffle,0.9806
154,code_switch,0.9355
155,char_noise,0.9401
155,word_shuffle,0.9805
155,code_switch,1.0
156,char_noise,0.9623
156,word_shuffle,0.9685
156,code_switch,0.971
157,char_noise,0.9353
157,word_shuffle,0.9825
157,code_switch,0.9649
158,char_noise,0.9723
158,word_shuffle,0.9606
158,code_switch,0.9642
159,char_noise,0.9421
159,word_shuffle,0.9625
159,code_switch,0.941
160,char_noise,0.9479
160,word_shuffle,0.9683
160,code_switch,0.9587
161,char_noise,0.9749
161,word_shuffle,0.9845
161,code_switch,0.9516
162,char_noise,0.9807
162,word_shuffle,0.9587
162,code_switch,0.9649
163,char_noise,0.9483
163,word_shuffle,0.9765
163,code_switch,0.9578
164,char_noise,0.9626
164,word_shuffle,0.9748
164,code_switch,0.9404
165,char_noise,0.9585
165,word_shuffle,0.9695
165,code_switch,0.9708
166,char_noise,1.0
166,word_shuffle,1.0
166,code_switch,0.8672
167,char_noise,0.9402
167,word_shuffle,0.9561
167,code_switch,0.966
168,char_noise,0.9341
168,word_shuffle,0.9898
168,code_switch,0.9475
169,char_noise,0.9879
169,word_shuffle,0.9851
169,code_switch,0.9712
170,char_noise,0.9626
170,word_shuffle,0.9544
