sentence_id,lang,similarity
235,Chinese,0.8421
236,Chinese,0.9048
237,Chinese,0.8744
238,Chinese,0.8928
239,Chinese,0.8104
240,Chinese,0.858
241,Chinese,0.8516
242,Chinese,0.8703
243,Chinese,0.8842
244,Chinese,0.9076
245,Chinese,0.8614
246,Chinese,0.9103
247,Chinese,0.9259
248,Chinese,0.8857
249,Chinese,0.8982
250,Chinese,0.9175
251,Chinese,0.8595
252,Chinese,0.8321
253,Chinese,0.8977
254,Chinese,0.9118
255,Chinese,0.8368
256,Chinese,0.8941
257,Chinese,0.8845
258,Chinese,0.8547
259,Chinese,0.8181
260,Chinese,0.8775
261,Chinese,0.8583
262,Chinese,0.9466
263,Chinese,0.8619
264,Chinese,0.8902
265,Chinese,0.9025
266,Chinese,0.7885
267,Chinese,0.8173
268,Chinese,0.9177
269,Chinese,0.8587
270,Chinese,0.8835
271,Chinese,0.8442
272,Chinese,0.8634
273,Chinese,0.8583
274,Chinese,0.9016
275,Chinese,0.8708
276,Chinese,0.9031
277,Chinese,0.8753
278,Chinese,0.8826
279,Chinese,0.8964
280,Chinese,0.9018
281,Chinese,0.8969
282,Chinese,0.9336
283,Chinese,0.8973
284,Chinese,0.8982
285,Chinese,0.8408
286,Chinese,0.7972
287,Chinese,0.8176
288,Chinese,0.8126
289,Chinese,0.8962
290,Chinese,0.859
291,Chinese,0.8962
292,Chinese,0.9261
293,Chinese,0.8847
294,Chinese,0.8488
295,Chinese,0.8053
296,Chinese,0.9062
297,Chinese,0.8477
298,Chinese,0.8562
299,Chinese,0.8652
300,Chinese,0.9536
301,Chinese,0.9134
302,Chinese,0.8789
303,Chinese,0.92
304,Chinese,0.9215
305,Chinese,0.8743
306,Chinese,0.8253
307,Chinese,0.9196
308,Chinese,0.9026
309,Chinese,0.877
310,Chinese,0.9542
311,Chinese,0.9148
312,Chinese,0.8753
313,Chinese,0.8762
314,Chinese,0.8679
315,Chinese,0.8289
316,Chinese,0.9238
317,Chinese,0.9003
318,Chinese,0.8774
319,Chinese,0.8741
320,Chinese,0.8734
321,Chinese,0.917
322,Chinese,0.8961
323,Chinese,0.9073
324,Chinese,0.8627
325,Chinese,0.8979
326,Chinese,0.9323
327,Chinese,0.8337
328,Chinese,0.9347
329,Chinese,0.8657
330,Chinese,0.8396
331,Chinese,0.8887
332,Chinese,0.8631
333,Chinese,0.8601
334,Chinese,0.807
335,Chinese,0.8683
336,Chinese,0.8235
337,Chinese,0.8684
338,Chinese,0.9071
339,Chinese,0.9068
340,Chinese,0.7832
341,Chinese,0.8799
342,Chinese,0.8612
343,Chinese,0.8845
344,Chinese,0.8876
345,Chinese,0.8528
346,Chinese,0.8951
347,Chinese,0.7996
348,Chinese,0.8969
349,Chinese,0.8956
350,Chinese,0.8551
351,Chinese,0.8992
352,Chinese,0.8735
353,Chinese,0.8622
354,Chinese,0.79
355,Chinese,0.8614
356,Chinese,0.919
357,Chinese,0.7966
358,Chinese,0.857
359,Chinese,0.9063
360,Chinese,0.8956
361,Chinese,0.8507
362,Chinese,0.917
363,Chinese,0.8816
364,Chinese,0.8104
365,Chinese,0.9011
366,Chinese,0.8538
367,Chinese,0.9012
368,Chinese,0.9137
369,Chinese,0.9043
370,Chinese,0.883
371,Chinese,0.8941
372,Chinese,0.9037
373,Chinese,0.8475
374,Chinese,0.881
375,Chinese,0.9034
376,Chinese,0.9079
377,Chinese,0.9055
378,Chinese,0.9327
379,Chinese,0.8924
380,Chinese,0.8782
381,Chinese,0.8044
382,Chinese,0.8709
383,Chinese,0.9016
384,Chinese,0.8744
385,Chinese,0.883
386,Chinese,0.9097
387,Chinese,0.88
388,Chinese,0.8793
389,Chinese,0.8713
390,Chinese,0.893
391,Chinese,0.8617
392,Chinese,0.8986
393,Chinese,0.845
394,Chinese,0.8286
395,Chinese,0.8473
396,Chinese,0.9038
397,Chinese,0.856
398,Chinese,0.947
399,Chinese,0.953
400,Chinese,0.8624
401,Chinese,0.8849
402,Chinese,0.8203
403,Chinese,0.8515
404,Chinese,0.8442
405,Chinese,0.8246
406,Chinese,0.88
407,Chinese,0.9038
408,Chinese,0.9989
409,Chinese,0.8939
410,Chinese,0.8842
411,Chinese,0.9043
412,Chinese,0.8613
